Player Name,Team,Minutes Played,Player Link
Mark Sears,ALABAMA,873,https://www.espn.com/mens-college-basketball/player/_/id/4703530/mark-sears
Grant Nelson,ALABAMA,710,https://www.espn.com/mens-college-basketball/player/_/id/4702670/grant-nelson
Aden Holloway,ALABAMA,578,https://www.espn.com/mens-college-basketball/player/_/id/4684276/aden-holloway
Latrell Wrightsell Jr.,ALABAMA,205,https://www.espn.com/mens-college-basketball/player/_/id/4702484/latrell-wrightsell-jr
Labaron Philon,ALABAMA,633,https://www.espn.com/mens-college-basketball/player/_/id/4873090/labaron-philon
Chris Youngblood,ALABAMA,443,https://www.espn.com/mens-college-basketball/player/_/id/4706557/chris-youngblood
Clifford Omoruyi,ALABAMA,512,https://www.espn.com/mens-college-basketball/player/_/id/4433155/clifford-omoruyi
Derrion Reid,ALABAMA,293,https://www.espn.com/mens-college-basketball/player/_/id/5095155/derrion-reid
Mouhamed Dioubate,ALABAMA,411,https://www.espn.com/mens-college-basketball/player/_/id/4895780/mouhamed-dioubate
Jarin Stevenson,ALABAMA,508,https://www.espn.com/mens-college-basketball/player/_/id/4873181/jarin-stevenson
Houston Mallette,ALABAMA,47,https://www.espn.com/mens-college-basketball/player/_/id/4709141/houston-mallette
Aiden Sherrell,ALABAMA,203,https://www.espn.com/mens-college-basketball/player/_/id/4873184/aiden-sherrell
Max Scharnowski,ALABAMA,8,https://www.espn.com/mens-college-basketball/player/_/id/5105513/max-scharnowski
Adou Thiero,ARKANSAS,737,https://www.espn.com/mens-college-basketball/player/_/id/5060631/adou-thiero
Boogie Fland,ARKANSAS,613,https://www.espn.com/mens-college-basketball/player/_/id/5238195/boogie-fland
Johnell Davis,ARKANSAS,769,https://www.espn.com/mens-college-basketball/player/_/id/4702655/johnell-davis
D.J. Wagner,ARKANSAS,923,https://www.espn.com/mens-college-basketball/player/_/id/4683777/dj-wagner
Zvonimir Ivisic,ARKANSAS,520,https://www.espn.com/mens-college-basketball/player/_/id/5174665/zvonimir-ivisic
Karter Knox,ARKANSAS,607,https://www.espn.com/mens-college-basketball/player/_/id/4869777/karter-knox
Trevon Brazile,ARKANSAS,419,https://www.espn.com/mens-college-basketball/player/_/id/4698719/trevon-brazile
Jonas Aidoo,ARKANSAS,383,https://www.espn.com/mens-college-basketball/player/_/id/4684682/jonas-aidoo
Billy Richmond III,ARKANSAS,409,https://www.espn.com/mens-college-basketball/player/_/id/5060732/billy-richmond-iii
Casmir Chavis,ARKANSAS,6,https://www.espn.com/mens-college-basketball/player/_/id/5183293/casmir-chavis
Ayden Kelley,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5238196/ayden-kelley
Kareem Watkins,ARKANSAS,5,https://www.espn.com/mens-college-basketball/player/_/id/4702469/kareem-watkins
Melo Sanchez,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5116128/melo-sanchez
Jaden Karuletwa,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5238194/jaden-karuletwa
Johni Broome,AUBURN,725,https://www.espn.com/mens-college-basketball/player/_/id/4433569/johni-broome
Chad Baker-Mazara,AUBURN,678,https://www.espn.com/mens-college-basketball/player/_/id/4897532/chad-baker-mazara
Tahaad Pettiford,AUBURN,575,https://www.espn.com/mens-college-basketball/player/_/id/4873089/tahaad-pettiford
Denver Jones,AUBURN,743,https://www.espn.com/mens-college-basketball/player/_/id/4897493/denver-jones
Miles Kelly,AUBURN,737,https://www.espn.com/mens-college-basketball/player/_/id/4696317/miles-kelly
Chaney Johnson,AUBURN,635,https://www.espn.com/mens-college-basketball/player/_/id/5174655/chaney-johnson
Jahki Howard,AUBURN,168,https://www.espn.com/mens-college-basketball/player/_/id/4869769/jahki-howard
Dylan Cardwell,AUBURN,533,https://www.espn.com/mens-college-basketball/player/_/id/4433174/dylan-cardwell
Ja'Heim Hudson,AUBURN,132,https://www.espn.com/mens-college-basketball/player/_/id/4897218/jaheim-hudson
JP Pegues,AUBURN,139,https://www.espn.com/mens-college-basketball/player/_/id/4897381/jp-pegues
Chris Moore,AUBURN,284,https://www.espn.com/mens-college-basketball/player/_/id/4433200/chris-moore
Presley Patterson,AUBURN,16,https://www.espn.com/mens-college-basketball/player/_/id/5105524/presley-patterson
Blake Muschalek,AUBURN,23,https://www.espn.com/mens-college-basketball/player/_/id/5174652/blake-muschalek
CJ Williams,AUBURN,11,https://www.espn.com/mens-college-basketball/player/_/id/5106287/cj-williams
Reed Trapp,AUBURN,1,https://www.espn.com/mens-college-basketball/player/_/id/5174653/reed-trapp
Norchad Omier,BAYLOR,831,https://www.espn.com/mens-college-basketball/player/_/id/4702134/norchad-omier
VJ Edgecombe,BAYLOR,794,https://www.espn.com/mens-college-basketball/player/_/id/5124612/vj-edgecombe
Robert Wright III,BAYLOR,817,https://www.espn.com/mens-college-basketball/player/_/id/5060709/robert-wright-iii
Jeremy Roach,BAYLOR,638,https://www.espn.com/mens-college-basketball/player/_/id/4433135/jeremy-roach
