Player Name,Team,Minutes Played,Player Link,Player State
Mark Sears,ALABAMA,873,https://www.espn.com/mens-college-basketball/player/_/id/4703530/mark-sears,AL
Grant Nelson,ALABAMA,710,https://www.espn.com/mens-college-basketball/player/_/id/4702670/grant-nelson,ND
Aden Holloway,ALABAMA,578,https://www.espn.com/mens-college-basketball/player/_/id/4684276/aden-holloway,NC
Latrell Wrightsell Jr.,ALABAMA,205,https://www.espn.com/mens-college-basketball/player/_/id/4702484/latrell-wrightsell-jr,NE
Labaron Philon,ALABAMA,633,https://www.espn.com/mens-college-basketball/player/_/id/4873090/labaron-philon,AL
Chris Youngblood,ALABAMA,443,https://www.espn.com/mens-college-basketball/player/_/id/4706557/chris-youngblood,AL
Clifford Omoruyi,ALABAMA,512,https://www.espn.com/mens-college-basketball/player/_/id/4433155/clifford-omoruyi,Ni
Derrion Reid,ALABAMA,293,https://www.espn.com/mens-college-basketball/player/_/id/5095155/derrion-reid,GA
Mouhamed Dioubate,ALABAMA,411,https://www.espn.com/mens-college-basketball/player/_/id/4895780/mouhamed-dioubate,NY
Jarin Stevenson,ALABAMA,508,https://www.espn.com/mens-college-basketball/player/_/id/4873181/jarin-stevenson,NC
Houston Mallette,ALABAMA,47,https://www.espn.com/mens-college-basketball/player/_/id/4709141/houston-mallette,CA
Aiden Sherrell,ALABAMA,203,https://www.espn.com/mens-college-basketball/player/_/id/4873184/aiden-sherrell,MI
Max Scharnowski,ALABAMA,8,https://www.espn.com/mens-college-basketball/player/_/id/5105513/max-scharnowski,IL
Adou Thiero,ARKANSAS,737,https://www.espn.com/mens-college-basketball/player/_/id/5060631/adou-thiero,PA
Boogie Fland,ARKANSAS,613,https://www.espn.com/mens-college-basketball/player/_/id/5238195/boogie-fland,NY
Johnell Davis,ARKANSAS,769,https://www.espn.com/mens-college-basketball/player/_/id/4702655/johnell-davis,IN
D.J. Wagner,ARKANSAS,923,https://www.espn.com/mens-college-basketball/player/_/id/4683777/dj-wagner,NJ
Zvonimir Ivisic,ARKANSAS,520,https://www.espn.com/mens-college-basketball/player/_/id/5174665/zvonimir-ivisic,Cr
Karter Knox,ARKANSAS,607,https://www.espn.com/mens-college-basketball/player/_/id/4869777/karter-knox,FL
Trevon Brazile,ARKANSAS,419,https://www.espn.com/mens-college-basketball/player/_/id/4698719/trevon-brazile,MO
Jonas Aidoo,ARKANSAS,383,https://www.espn.com/mens-college-basketball/player/_/id/4684682/jonas-aidoo,NC
Billy Richmond III,ARKANSAS,409,https://www.espn.com/mens-college-basketball/player/_/id/5060732/billy-richmond-iii,TN
Casmir Chavis,ARKANSAS,6,https://www.espn.com/mens-college-basketball/player/_/id/5183293/casmir-chavis,MN
Ayden Kelley,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5238196/ayden-kelley,MS
Kareem Watkins,ARKANSAS,5,https://www.espn.com/mens-college-basketball/player/_/id/4702469/kareem-watkins,NJ
Melo Sanchez,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5116128/melo-sanchez,CA
Jaden Karuletwa,ARKANSAS,3,https://www.espn.com/mens-college-basketball/player/_/id/5238194/jaden-karuletwa,CA
Johni Broome,AUBURN,725,https://www.espn.com/mens-college-basketball/player/_/id/4433569/johni-broome,FL
Chad Baker-Mazara,AUBURN,678,https://www.espn.com/mens-college-basketball/player/_/id/4897532/chad-baker-mazara,Do
Tahaad Pettiford,AUBURN,575,https://www.espn.com/mens-college-basketball/player/_/id/4873089/tahaad-pettiford,NJ
Denver Jones,AUBURN,743,https://www.espn.com/mens-college-basketball/player/_/id/4897493/denver-jones,AL
Miles Kelly,AUBURN,737,https://www.espn.com/mens-college-basketball/player/_/id/4696317/miles-kelly,GA
Chaney Johnson,AUBURN,635,https://www.espn.com/mens-college-basketball/player/_/id/5174655/chaney-johnson,AL
Jahki Howard,AUBURN,168,https://www.espn.com/mens-college-basketball/player/_/id/4869769/jahki-howard,MA
Dylan Cardwell,AUBURN,533,https://www.espn.com/mens-college-basketball/player/_/id/4433174/dylan-cardwell,GA
Ja'Heim Hudson,AUBURN,132,https://www.espn.com/mens-college-basketball/player/_/id/4897218/jaheim-hudson,GA
JP Pegues,AUBURN,139,https://www.espn.com/mens-college-basketball/player/_/id/4897381/jp-pegues,TN
Chris Moore,AUBURN,284,https://www.espn.com/mens-college-basketball/player/_/id/4433200/chris-moore,AR
Presley Patterson,AUBURN,16,https://www.espn.com/mens-college-basketball/player/_/id/5105524/presley-patterson,TN
Blake Muschalek,AUBURN,23,https://www.espn.com/mens-college-basketball/player/_/id/5174652/blake-muschalek,TX
CJ Williams,AUBURN,11,https://www.espn.com/mens-college-basketball/player/_/id/5106287/cj-williams,FL
Reed Trapp,AUBURN,1,https://www.espn.com/mens-college-basketball/player/_/id/5174653/reed-trapp,AL
Norchad Omier,BAYLOR,831,https://www.espn.com/mens-college-basketball/player/_/id/4702134/norchad-omier,Ni
VJ Edgecombe,BAYLOR,794,https://www.espn.com/mens-college-basketball/player/_/id/5124612/vj-edgecombe,Ba
Robert Wright III,BAYLOR,817,https://www.espn.com/mens-college-basketball/player/_/id/5060709/robert-wright-iii,DE
Jeremy Roach,BAYLOR,638,https://www.espn.com/mens-college-basketball/player/_/id/4433135/jeremy-roach,VA
Langston Love,BAYLOR,347,https://www.espn.com/mens-college-basketball/player/_/id/4433265/langston-love,TX
Jayden Nunn,BAYLOR,759,https://www.espn.com/mens-college-basketball/player/_/id/4896614/jayden-nunn,MI
Jalen Celestine,BAYLOR,560,https://www.espn.com/mens-college-basketball/player/_/id/4598611/jalen-celestine,ON
Josh Ojianwuna,BAYLOR,566,https://www.espn.com/mens-college-basketball/player/_/id/4894236/josh-ojianwuna,Ni
Jason Asemota,BAYLOR,143,https://www.espn.com/mens-college-basketball/player/_/id/5239489/jason-asemota,MA
Omar Adegbola,BAYLOR,22,https://www.espn.com/mens-college-basketball/player/_/id/5175026/omar-adegbola,TX
